period,h,model,coverage,r2,r2_wins,ic,hit
2021-03-31,45,revealed_scaled,0.6617934524053941,0.4138908747744756,0.3837865234826684,0.6339141302899653,0.7685992816829144
2021-03-31,60,revealed,0.9773012709854897,0.9372543876756491,0.8999052106723952,0.9529278943770411,0.9433384379785605
2021-03-31,60,revealed_scaled,0.9773012709854897,0.936832375135876,0.8999324481388676,0.9529278943770411,0.9433384379785605
2021-06-30,15,revealed,0.02039918852245307,0.003940358943202993,0.006578201480570867,0.08473677015395281,0.5431937172774869
2021-06-30,15,revealed_scaled,0.02039918852245307,-0.06121603450585389,-0.04829332078279802,0.08473677015395281,0.5431937172774869
2021-06-30,30,revealed,0.1092559869908456,0.00816985506014034,0.013785712952777307,0.14186606935085425,0.571042679632631
2021-06-30,30,revealed_scaled,0.1092559869908456,-0.3315793008258541,-0.3699523971312233,0.14186606935085425,0.571042679632631
2021-06-30,45,revealed,0.5110977454681401,0.5521220680877912,0.4084591408353453,0.5546747925440486,0.7323733862959285
2021-06-30,45,revealed_scaled,0.5110977454681401,0.38961729502009856,0.2199338873569664,0.5546747925440486,0.7323733862959285
2021-06-30,60,revealed,0.97571179326161,0.9489295149109231,0.9102881465512576,0.9412072552423576,0.9253583786455759
2021-06-30,60,revealed_scaled,0.97571179326161,0.9470381180196495,0.9080790257220972,0.9412072552423576,0.9253583786455759
2021-09-30,15,revealed,0.028115409397889812,0.002943739032443826,0.0021389987347766315,0.08492030668052218,0.5541795665634675
2021-09-30,15,revealed_scaled,0.028115409397889812,-0.03217895764200307,-0.015814729155624985,0.08492030668052218,0.5541795665634675
2021-09-30,30,revealed,0.11446772977440758,0.21873130784017503,0.026155917838597387,0.15721922035205022,0.5743380855397149
2021-09-30,30,revealed_scaled,0.11446772977440758,-6.112932423256521,-0.28843078810326617,0.15721922035205022,0.5743380855397149
2021-09-30,45,revealed,0.4475441419952399,0.37932684386741067,0.2526222149637395,0.4775903406781844,0.7032072762087123
2021-09-30,45,revealed_scaled,0.4475441419952399,-0.016618935521130362,-0.039857276847227396,0.4775903406781844,0.7032072762087123
2021-09-30,60,revealed,0.9775368849971651,0.9251100444990656,0.875214967781622,0.9203665496839102,0.9278301886792453
2021-09-30,60,revealed_scaled,0.9775368849971651,0.9233314614532456,0.8715024036392116,0.9203665496839102,0.9278301886792453
2021-12-31,15,revealed,0.012547437035902487,0.0008148324104989557,0.0009210406069578569,0.04597618379894519,0.5382636655948553
2021-12-31,15,revealed_scaled,0.012547437035902487,-0.0016095351149711945,0.0019843904438382465,0.04597618379894519,0.5382636655948553
2021-12-31,30,revealed,0.07630653816943612,0.0372458274784645,0.017428178908947545,0.15932114764677693,0.5892323030907278
2021-12-31,30,revealed_scaled,0.07630653816943612,-0.8472726332447422,-0.08632566815964182,0.15932114764677693,0.5892323030907278
2021-12-31,45,revealed,0.877149904053482,0.8165858315546002,0.7791417752978469,0.8623257472825898,0.8860986547085202
2021-12-31,45,revealed_scaled,0.877149904053482,0.7844102687480153,0.7543576814761561,0.8623257472825898,0.8860986547085202
2021-12-31,60,revealed,0.9224842029634761,0.896088497429429,0.8490037966871725,0.8892560191804414,0.8989266547406082
2021-12-31,60,revealed_scaled,0.9224842029634761,0.8769227245789156,0.8244543816647937,0.8892560191804414,0.8989266547406082
2022-03-31,15,revealed,0.02540176180429122,0.0007519834641122047,0.00047453115965290227,0.018494565052558115,0.5151162790697674
