period,panel,model,ndcg
2015-03-31,mega,persist,0.9045145987116286
2015-03-31,mega,ema,0.8928946673252661
2015-03-31,mega,persist,0.6693415087949103
2015-03-31,mega,ema,0.6821942880479062
2015-03-31,mega,persist,0.4390594883436376
2015-03-31,mega,ema,0.46913160656216046
2015-03-31,mega,persist,0.7788581175141753
2015-03-31,mega,ema,0.7827895263996278
2015-03-31,mega,persist,0.95489153722639
2015-03-31,mega,ema,0.9336092565233381
2015-03-31,mega,persist,0.745966686998669
2015-03-31,mega,ema,0.783591489588125
2015-03-31,mega,persist,0.8075332331790368
2015-03-31,mega,ema,0.7887007241525196
2015-03-31,mega,persist,0.9989900662828983
2015-03-31,mega,ema,0.9980579183443642
2015-03-31,mega,persist,0.9967559102737666
2015-03-31,mega,ema,0.9969618668098751
2015-03-31,mega,persist,0.8402234484053431
2015-03-31,mega,ema,0.8393565085179717
2015-03-31,mega,persist,0.9775674857592411
2015-03-31,mega,ema,0.9765912269153508
2015-03-31,mega,persist,0.9873378138438844
2015-03-31,mega,ema,0.9851424139784185
2015-03-31,mega,persist,0.9581172531583572
2015-03-31,mega,ema,0.9578292521968519
2015-03-31,mega,persist,0.995920119857597
2015-03-31,mega,ema,0.9899961782121119
2015-03-31,mega,persist,0.9982143178150479
2015-03-31,mega,ema,0.9622016041477147
2015-03-31,mega,persist,0.9478062387456652
2015-03-31,mega,ema,0.9313814499628944
2015-03-31,mega,persist,0.7980214614629497
2015-03-31,mega,ema,0.7863712806161247
2015-03-31,mega,persist,0.9981354666263687
2015-03-31,mega,ema,0.9981354666263687
2015-03-31,mega,persist,0.7487065479039635
2015-03-31,mega,ema,0.7751335927227009
2015-03-31,mega,persist,0.9584370066270398
2015-03-31,mega,ema,0.9733384601116996
2015-03-31,mega,persist,0.9915762242821969
2015-03-31,mega,ema,0.9931576440690731
2015-03-31,mega,persist,0.9701273742265962
2015-03-31,mega,ema,0.9570522013709688
2015-03-31,mega,persist,0.7377594411665104
2015-03-31,mega,ema,0.6545279727503388
2015-03-31,mega,persist,0.9979890607090691
